team_long_name,city,team_cleaned,team_and_city
SL Benfica,Lisboa,SL Benfica,SL Benfica (Lisboa)
Leixões SC,Matosinhos,Leixões SC,Leixões SC (Matosinhos)
CD Nacional,Funchal,CD Nacional,CD Nacional (Funchal)
Naval 1° de Maio,Maio,Naval 1° de Maio,Naval 1° de Maio (Maio)
CS Marítimo,Funchal,CS Marítimo,CS Marítimo (Funchal)
"União de Leiria, SAD",Leiria,"União de Leiria, SAD","União de Leiria, SAD (Leiria)"
S.C. Olhanense,Olhão,S.C. Olhanense,S.C. Olhanense (Olhão)
Portimonense,Portimão,Portimonense,Portimonense (Portimão)
SC Beira Mar,Aveiro,SC Beira Mar,SC Beira Mar (Aveiro)
Feirense,Santa Maria da Feira,Feirense,Feirense (Santa Maria da Feira)
Gil Vicente FC,Barcelos,Gil Vicente FC,Gil Vicente FC (Barcelos)
Moreirense FC,Moreira de Cónegos,Moreirense FC,Moreirense FC (Moreira de Cónegos)
Estoril Praia,Cascais,Estoril Praia,Estoril Praia (Cascais)
FC Arouca,Arouca,FC Arouca,FC Arouca (Arouca)
FC Penafiel,Penafiel,FC Penafiel,FC Penafiel (Penafiel)
Boavista FC,Porto,Boavista FC,Boavista FC (Porto)
Uniao da Madeira,Funchal,Uniao da Madeira,Uniao da Madeira (Funchal)
Tondela,Tondela,Tondela,Tondela (Tondela)
Falkirk,Falkirk,Falkirk,Falkirk (Falkirk)
Rangers,Glasgow,Rangers,Rangers (Glasgow)
Heart of Midlothian,Edinburgh,Heart of Midlothian,Heart of Midlothian (Edinburgh)
Motherwell,Motherwell,Motherwell,Motherwell (Motherwell)
Kilmarnock,Kilmarnock,Kilmarnock,Kilmarnock (Kilmarnock)
Hibernian,Edinburgh,Hibernian,Hibernian (Edinburgh)
Aberdeen,Aberdeen,Aberdeen,Aberdeen (Aberdeen)
Inverness Caledonian Thistle,Thistle,Inverness Caledonian Thistle,Inverness Caledonian Thistle (Thistle)
Celtic,Glasgow,Celtic,Celtic (Glasgow)
St. Mirren,Mirren,St. Mirren,St. Mirren (Mirren)
Hamilton Academical FC,Academical,Hamilton Academical FC,Hamilton Academical FC (Academical)
Dundee United,Dundee,Dundee United,Dundee United (Dundee)
St. Johnstone FC,Johnstone,St. Johnstone FC,St. Johnstone FC (Johnstone)
Dunfermline Athletic,Dunfermline,Dunfermline Athletic,Dunfermline Athletic (Dunfermline)
Dundee FC,Dundee,Dundee FC,Dundee FC (Dundee)
Ross County FC,County,Ross County FC,Ross County FC (County)
Partick Thistle F.C.,F.C.,Partick Thistle F.C.,Partick Thistle F.C. (F.C.)
Valencia CF,Valencia,Valencia CF,Valencia CF (Valencia)
RCD Mallorca,Palma,RCD Mallorca,RCD Mallorca (Palma)
CA Osasuna,Pamplona,CA Osasuna,CA Osasuna (Pamplona)
Villarreal CF,Villarreal,Villarreal CF,Villarreal CF (Villarreal)
RC Deportivo de La Coruña,La Coruña,RC Deportivo de La Coruña,RC Deportivo de La Coruña (La Coruña)
Real Madrid CF,Madrid,Real Madrid CF,Real Madrid CF (Madrid)
CD Numancia,Numancia,CD Numancia,CD Numancia (Numancia)
FC Barcelona,Barcelona,FC Barcelona,FC Barcelona (Barcelona)
Racing Santander,Santander,Racing Santander,Racing Santander (Santander)
Sevilla FC,Sevilla,Sevilla FC,Sevilla FC (Sevilla)
Real Sporting de Gijón,Gijón,Real Sporting de Gijón,Real Sporting de Gijón (Gijón)
Getafe CF,Getafe,Getafe CF,Getafe CF (Getafe)
Real Betis Balompié,Balompié,Real Betis Balompié,Real Betis Balompié (Balompié)
RC Recreativo,Recreativo,RC Recreativo,RC Recreativo (Recreativo)
RCD Espanyol,Barcelona,RCD Espanyol,RCD Espanyol (Barcelona)
Real Valladolid,Valladolid,Real Valladolid,Real Valladolid (Valladolid)
Athletic Club de Bilbao,Bilbao,Athletic Club de Bilbao,Athletic Club de Bilbao (Bilbao)
UD Almería,Almería,UD Almería,UD Almería (Almería)
Atlético Madrid,Madrid,Atlético Madrid,Atlético Madrid (Madrid)
Málaga CF,Málaga,Málaga CF,Málaga CF (Málaga)
Xerez Club Deportivo,Deportivo,Xerez Club Deportivo,Xerez Club Deportivo (Deportivo)
Real Zaragoza,Zaragoza,Real Zaragoza,Real Zaragoza (Zaragoza)
CD Tenerife,Tenerife,CD Tenerife,CD Tenerife (Tenerife)
Hércules Club de Fútbol,Alicante,Hércules Club de Fútbol,Hércules Club de Fútbol (Alicante)
Levante UD,Valencia,Levante UD,Levante UD (Valencia)
Real Sociedad,San Sebastián,Real Sociedad,Real Sociedad (San Sebastián)
Granada CF,Granada,Granada CF,Granada CF (Granada)
Rayo Vallecano,Vallecano,Rayo Vallecano,Rayo Vallecano (Vallecano)
RC Celta de Vigo,Vigo,RC Celta de Vigo,RC Celta de Vigo (Vigo)
Elche CF,Elche,Elche CF,Elche CF (Elche)
SD Eibar,Eibar,SD Eibar,SD Eibar (Eibar)
Córdoba CF,Córdoba,Córdoba CF,Córdoba CF (Córdoba)
UD Las Palmas,Las Palmas de Gran Canaria,UD Las Palmas,UD Las Palmas (Las Palmas de Gran Canaria)
Grasshopper Club Zürich,Zürich,Grasshopper Club Zürich,Grasshopper Club Zürich (Zürich)
AC Bellinzona,Bellinzona,AC Bellinzona,AC Bellinzona (Bellinzona)
BSC Young Boys,Bern,BSC Young Boys,BSC Young Boys (Bern)
FC Basel,Basel,FC Basel,FC Basel (Basel)
FC Aarau,Aarau,FC Aarau,FC Aarau (Aarau)
FC Sion,Sion,FC Sion,FC Sion (Sion)
FC Luzern,Luzern,FC Luzern,FC Luzern (Luzern)
FC Vaduz,Vaduz,FC Vaduz,FC Vaduz (Vaduz)
Neuchâtel Xamax,Neuchâtel,Neuchâtel Xamax,Neuchâtel Xamax (Neuchâtel)
FC Zürich,Zürich,FC Zürich,FC Zürich (Zürich)
FC St. Gallen,St. Gallen,FC St. Gallen,FC St. Gallen (St. Gallen)
FC Thun,Thun,FC Thun,FC Thun (Thun)
Servette FC,Genève,Servette FC,Servette FC (Genève)
FC Lausanne-Sports,Lausanne,FC Lausanne-Sports,FC Lausanne-Sports (Lausanne)
Lugano,Lugano,Lugano,Lugano (Lugano)
